idx,algo,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword
0,multipartiterank,new feature recognition algorithms,faces,papers,general,protrusion faces,concavity techniques,face inner,loop,algorithm,theory,implementation,dimensional convex hull method,purpose feature detection techniques,performance,depression,first,sets,geometric models,others,different methods
0,label,cad/cam,computational geometry,feature extraction,spatial reasoning,,,,,,,,,,,,,,,,
1,multipartiterank,adaptive digital filter,pipelined fir adf,coefficients,new method,adf,maximum delay,classification,impulse response,fir,order,pipelined finite,method,filter,least mean square,filtering section,paper,new architecture,conventional,portion,dlms
1,label,adaptive filters,delays,digital filters,fir filters,least mean squares methods,pipeline processing,,,,,,,,,,,,,,
2,multipartiterank,autonomous detection,surface,crack initiation,piezotransducers,fatigue degradation,application,situ health monitoring system,paper,piezoceramic wafer elements,array,metallic specimens,cyclic loading,detection,good robustness,structural degradation,lamb waves,experimental results,demonstration,onset,efficacy
2,label,aircraft testing,automatic testing,computerised monitoring,condition monitoring,crack detection,fatigue testing,intelligent actuators,piezoceramics,piezoelectric transducers,surface acoustic wave transducers,surface acoustic waves,,,,,,,,,
3,multipartiterank,automation systems,heat,air temperature,hvac,internet,systems,issues,building,bass,ventilation,changes,air conditioning,ability,advantages,facility managers,interoperability,real,time data,bas,remote monitoring
3,label,building management systems,computerised monitoring,hvac,internet,open systems,,,,,,,,,,,,,,,
4,multipartiterank,mobile telephony,businesses,name,single international brands,mobile operators,,,,,,,,,,,,,,,
4,label,cellular radio,,,,,,,,,,,,,,,,,,,
5,multipartiterank,stability,methods,applications,theory,splitting,term,bounded,respect,analytic semigroup,stability properties,generator,convergence,stability results,abstract banach space,initial data,geometric theory,explicit way,splitting methods,discretizations,layout
5,label,banach spaces,initial value problems,runge-kutta methods,stability,,,,,,,,,,,,,,,,
6,multipartiterank,disability,information centers,services,people,clearinghouses,obirn,ways,link,day,addition,depth library collections,referrals,tools,children,federal government,information resources,national information clearinghouse,oregon brain injury resource network,deaf,family members
6,label,handicapped aids,information centres,information needs,special libraries,,,,,,,,,,,,,,,,
7,multipartiterank,rf field,quadrature surface coil,human head,high field,experimental results,theoretical,mhz,phantom,study,behavior,inhomogeneous,human brain,additional layer,transmission,complexity,polarization,reception,useful,spatial distribution,rf field intensity distribution
7,label,bioelectric phenomena,biomedical equipment,biomedical mri,brain,coils,electromagnetic wave polarisation,finite difference time-domain analysis,image segmentation,maxwell equations,medical image processing,physiological models,solid modelling,,,,,,,,
8,multipartiterank,memory finite automata,input,invertible semi,delay,structure,paper,autonomous finite automaton component,first author,characterization,finite automata,semi,kind,generalization,error propagation,mutual invertibility,input memory finite automata,result,state graph,autonomous finite automaton,cycle
8,label,finite automata,,,,,,,,,,,,,,,,,,,
9,multipartiterank,government documents,subject access,supranational organizations,rulings,entities,new model,intellectual bundling,globalization,era,government information,decisions,influence,result,academic libraries,provincial,national,wto,state,need,obligatory changes
9,label,government data processing,legislation,,,,,,,,,,,,,,,,,,
10,multipartiterank,successor states,number,stubborn set method combinatorial explosion,problem,parallel compositions,weighted vertices,weights,lts,graph,transitions,set,vertices,ltss,equivalent,csp,nondeterministic,article,actual parallel composition,cffd,smaller sum
10,label,combinatorial mathematics,communicating sequential processes,,,,,,,,,,,,,,,,,,
11,multipartiterank,time,variant plants,frequency,crone control,constant coefficients,principles,domain robust control design methodology,extension,feedback systems,stability theorem,fractional differentiation,representation,variant frequency responses,continuous time,frequency domain,robust control,plants,,,
